DEP,annee,Homicides_p100k,Tentatives_d_homicides_p100k,Coups_et_blessures_volontaires_p1k,Coups_et_blessures_volontaires_intrafamiliaux_p1k,Autres_coups_et_blessures_volontaires_p1k,Violences_sexuelles_p1k,Vols_avec_armes_p1k,Vols_violents_sans_arme_p1k,Vols_sans_violence_contre_des_personnes_p1k,Cambriolages_de_logement_p1k,Vols_de_véhicules_p1k,Vols_dans_les_véhicules_p1k,Vols_d_accessoires_sur_véhicules_p1k,Destructions_et_dégradations_volontaires_p1k,Usage_de_stupéfiants_p1k,Usage_de_stupéfiants_AFD_p1k,Trafic_de_stupéfiants_p1k,Escroqueries_p1k
15,2023,0.6925,3.4626,3.6635,2.1468,1.5166,1.5997,0.0139,0.1177,3.4211,1.6077,0.3809,1.0873,0.5402,6.1496,2.0014,0.5471,0.2978,4.9308
15,2024,0.0,3.4626,2.9917,1.6205,1.3712,1.7936,0.0139,0.1385,2.8809,1.9389,0.4501,0.6717,0.2562,5.3948,1.8906,0.5609,0.4571,4.8477
16,2016,1.4153,1.4153,2.7654,1.3445,1.4209,0.9482,0.0481,0.3878,6.0461,5.3328,1.5738,3.3825,1.1322,8.6926,1.8823,0.0,0.3821,4.8544
16,2017,1.1353,1.7029,2.8694,1.2687,1.6007,1.0473,0.0312,0.4399,6.0936,6.2266,1.3169,3.1107,1.0984,8.4749,1.6149,0.0,0.3775,5.1031
16,2018,0.8528,1.4214,3.0189,1.4611,1.5578,1.103,0.0512,0.4264,6.0038,5.8767,1.2906,3.1213,1.2167,8.5423,1.6857,0.0,0.4605,4.807
16,2019,1.1363,1.7045,3.3379,1.7414,1.5965,1.1761,0.0341,0.4545,5.71,5.379,1.1647,2.8351,1.0937,8.0849,1.7982,0.0,0.4915,4.693
16,2020,1.4216,2.2745,3.1474,1.7685,1.3789,1.5268,0.0398,0.2985,4.4695,4.0051,1.0889,2.0954,0.6625,6.8521,1.5211,0.1393,0.6028,4.9415
16,2021,1.7101,3.9901,3.4857,1.8754,1.6103,1.5761,0.0513,0.3449,4.8622,4.5079,1.1999,2.0407,0.7838,7.8919,2.2858,0.5244,0.5529,5.3952
16,2022,1.4221,2.5597,4.4254,2.4573,1.9681,1.661,0.0455,0.2986,5.6257,4.2937,1.351,1.843,0.8731,8.3532,2.5625,0.4636,0.6513,5.7849
16,2023,0.5688,2.5597,4.6786,2.4516,2.2269,2.1075,0.0597,0.4551,5.7167,4.4282,1.2998,3.2082,0.8618,8.5551,2.4858,0.6598,0.7679,6.2997
16,2024,1.4221,2.8441,4.9118,2.6792,2.2326,2.2099,0.0483,0.3612,5.839,5.6984,1.1945,2.3578,1.0552,8.0204,2.5825,1.0893,0.6342,6.4021
17,2016,1.2457,1.5572,2.5164,1.1725,1.3438,0.7786,0.0732,0.4469,9.6638,5.525,2.1536,3.4009,1.6366,9.8335,2.6674,0.0,0.4781,3.0396
17,2017,0.9312,0.9312,2.6463,1.102,1.5443,0.9157,0.0512,0.4641,9.7066,5.7993,2.0596,3.2966,1.729,9.8572,2.9691,0.0,0.4718,3.0933
17,2018,1.3912,2.3186,2.8705,1.2521,1.6184,0.98,0.0541,0.4189,8.8031,5.045,2.1934,2.855,1.7823,9.2174,2.9323,0.0,0.4065,3.277
17,2019,1.2282,2.4564,3.1642,1.4877,1.6765,1.2512,0.0599,0.4145,8.2366,5.7582,1.9313,3.0859,1.5644,9.5769,3.2164,0.0,0.5665,3.3776
17,2020,1.22,5.0327,3.4482,1.8164,1.6318,1.3329,0.0717,0.3065,6.1811,4.0913,1.7004,2.2784,1.0538,8.0127,2.736,0.2593,0.4606,3.8584
17,2021,0.4536,2.7215,3.6861,2.1258,1.5603,1.6556,0.0514,0.2903,6.0901,3.7152,1.7009,2.2195,0.9692,8.1569,2.8152,0.9238,0.3719,4.1306
17,2022,0.898,2.9933,3.9901,2.2031,1.787,1.5835,0.0554,0.3442,6.9908,4.848,2.0549,2.3961,1.5131,8.028,3.2402,1.3994,0.4236,4.8895
17,2023,0.449,2.8436,4.4076,2.5084,1.8992,1.7855,0.0659,0.3113,7.1689,4.8901,2.2629,2.9499,1.3156,8.0086,3.0068,1.561,0.3891,5.5466
17,2024,0.449,2.5443,4.252,2.4515,1.8005,2.0998,0.0239,0.2469,6.708,5.6393,1.9666,2.5054,1.3051,8.2001,3.4109,1.9037,0.4445,5.6184
18,2016,1.3025,0.6512,2.5952,1.1006,1.4946,0.8271,0.0912,0.4949,6.3397,6.3472,1.8495,1.7193,1.309,9.4722,2.7482,0.0,0.2279,3.3343
18,2017,0.6573,2.958,2.9252,1.272,1.6532,0.9038,0.0493,0.4338,5.9292,7.0109,1.6828,1.8734,1.4363,8.3449,2.82,0.0,0.2103,3.4543
18,2018,0.3296,0.6592,2.9235,1.3645,1.559,1.0052,0.0461,0.3724,5.425,6.2135,1.3381,1.6117,1.47,8.5462,2.9828,0.0,0.3856,3.4343
18,2019,0.9924,1.3232,3.3906,1.7499,1.6407,1.1346,0.0496,0.3308,5.1636,6.4928,1.2173,1.5911,1.1908,8.8983,2.3519,0.0,0.3076,3.3906
18,2020,0.9969,0.9969,3.0605,1.5552,1.5053,1.0401,0.0233,0.2658,3.8048,4.7327,1.0434,1.2062,0.8407,6.8055,1.6814,0.2193,0.329,3.7583
18,2021,1.0014,1.3352,3.4082,1.8493,1.5589,1.2618,0.0234,0.2771,4.4563,4.5796,0.9781,0.9413,1.0315,7.5207,3.2112,1.629,0.3872,4.2561
18,2022,1.0017,4.0067,3.6461,2.0134,1.6327,1.3055,0.0334,0.3105,4.561,5.3884,1.2387,1.4758,1.4992,6.9717,2.6878,1.576,0.2738,4.6845
18,2023,0.6678,1.6695,3.6061,1.9933,1.6127,1.5025,0.0334,0.2838,4.5209,7.0395,1.2788,1.8598,1.202,7.0518,2.4274,1.566,0.2538,5.379
18,2024,1.0017,2.0034,3.9032,2.3172,1.586,1.5459,0.0401,0.3306,4.5443,7.9934,1.4858,1.97,1.3222,7.5293,2.581,1.7329,0.2237,5.4291
19,2016,0.414,1.2421,2.3516,1.1427,1.2089,0.6459,0.0373,0.2526,5.345,3.2859,0.9398,1.358,0.8405,6.38,2.7242,0.0,0.5755,3.1341
19,2017,0.0,0.4141,2.5097,1.0478,1.4619,0.675,0.0124,0.1491,5.0235,3.5296,0.8697,1.6938,0.6833,6.3695,3.3173,0.0,0.7247,3.1723
19,2018,0.4157,0.0,2.6186,1.222,1.3966,0.8022,0.0333,0.212,4.8008,3.2265,0.7523,1.8954,0.6858,6.2556,2.8015,0.0,0.478,3.1798
19,2019,1.2496,2.0827,2.6659,1.4037,1.2621,1.033,0.0167,0.1375,4.8152,2.7412,0.6123,1.8953,0.6998,6.7063,3.1657,0.0,0.5457,3.6739
19,2020,1.2542,2.5085,2.8973,1.5887,1.3086,1.1915,0.0376,0.1631,3.0478,2.1083,0.5937,1.296,0.5351,5.1842,2.9433,0.1923,0.3888,4.0846
19,2021,0.417,2.5023,3.5615,2.2062,1.3554,1.3137,0.0292,0.1626,3.7492,3.0955,0.4879,0.7757,0.4587,5.188,3.3113,0.7298,0.5296,5.0462
19,2022,0.8329,2.0823,4.0646,2.428,1.6367,1.595,0.025,0.1499,4.0813,2.6094,0.6289,0.9287,0.5747,5.5722,2.5112,0.8787,0.3457,5.085
19,2023,2.0823,4.1646,4.4353,2.7361,1.6992,1.5909,0.0167,0.1583,4.5852,2.3344,0.5456,0.8288,0.4998,6.0761,2.7653,1.0661,0.4748,5.9304
19,2024,0.8329,1.6658,4.3978,2.6987,1.6992,1.7533,0.0167,0.1541,4.6352,4.0293,0.658,0.7913,0.404,5.6847,2.7153,1.1328,0.4373,5.3931
21,2016,1.1253,0.7502,2.4962,1.069,1.4272,0.7258,0.0469,0.4088,7.2373,5.0959,1.5378,2.303,1.4234,8.5744,2.1023,0.0,0.7408,3.4695
21,2017,0.562,1.686,2.6994,1.1652,1.5342,0.8111,0.0731,0.4571,7.8116,4.3011,1.2495,2.5252,1.1277,8.5572,2.2817,0.0,0.6856,3.518
21,2018,1.1252,4.3134,2.8919,1.2321,1.6597,0.9827,0.0694,0.4238,7.2559,4.2544,1.1084,2.5187,1.1984,8.3118,2.5187,0.0,0.9358,3.7639
21,2019,0.9361,1.4978,3.0536,1.3873,1.6663,1.041,0.0917,0.3482,6.9609,4.373,1.1758,2.8083,1.3517,8.82,2.1811,0.0,0.7002,3.9204
21,2020,1.1213,4.1116,3.2033,1.5512,1.6521,1.1026,0.0505,0.3999,5.816,3.138,1.1232,2.2913,1.0933,7.554,2.1287,0.2822,0.5663,4.2891
21,2021,0.3735,5.6022,3.3109,1.6527,1.6583,1.4136,0.0859,0.4295,5.507,3.0808,1.1204,2.3884,1.0812,7.4397,2.3791,0.7227,0.6648,4.9822
21,2022,0.5581,4.2785,3.7985,1.8732,1.9253,1.5886,0.08,0.3925,6.2707,4.1806,1.1794,2.8256,1.8639,7.5933,2.4945,0.9971,0.6846,4.8272
21,2023,0.9301,4.0924,4.4812,2.4387,2.0425,1.7095,0.0744,0.4074,6.6483,4.2108,1.1273,2.5392,1.8435,7.5915,3.7037,2.2713,0.7441,5.7517
21,2024,1.1161,4.8365,4.1017,2.1355,1.9662,1.6667,0.0818,0.3813,6.4177,4.2983,1.0287,2.8963,1.5607,7.4799,4.3956,3.1326,0.5841,5.495
22,2016,1.3357,1.8365,2.082,1.0401,1.0418,0.6912,0.0301,0.3373,5.8318,3.5763,1.0318,2.0569,0.7396,7.2827,1.4575,0.0,0.3306,3.3759
22,2017,1.002,1.837,2.1977,1.022,1.1757,0.673,0.0384,0.329,5.7714,3.7662,1.0487,1.7535,0.7749,7.1007,1.6483,0.0,0.5077,3.6856
22,2018,1.0007,1.1675,2.3283,1.1508,1.1775,0.894,0.0334,0.3069,5.6372,3.8474,0.9557,1.7545,0.8606,7.0132,1.6311,0.0,0.4403,3.7209
22,2019,0.333,0.999,2.5592,1.3087,1.2505,0.9141,0.0333,0.2597,5.2599,3.5141,0.8642,1.8099,0.8692,7.178,1.7,0.0,0.5378,3.3318
22,2020,0.8283,1.8223,2.8693,1.592,1.2773,0.9161,0.048,0.1739,3.9593,3.1826,0.6958,1.1596,0.6875,6.1262,1.5688,0.1756,0.3926,3.7473
22,2021,1.3203,2.1455,2.8766,1.7313,1.1454,1.1899,0.0297,0.1469,4.1359,2.5709,0.6437,1.2658,0.7229,6.5587,1.8319,0.6123,0.4109,4.0996
22,2022,1.3123,2.1326,3.7188,2.2179,1.501,1.5764,0.0427,0.2559,4.9721,3.3544,0.6841,1.3123,0.9301,7.3589,1.9045,1.0253,0.3281,4.6719
22,2023,1.4764,2.9528,3.855,2.3655,1.4895,1.4534,0.0197,0.2264,4.7343,3.381,0.7316,1.3074,0.8645,6.9685,2.2802,1.4337,0.2838,5.169
22,2024,0.6562,3.773,4.0961,2.6312,1.4649,1.7487,0.0246,0.1985,4.8688,3.373,0.8235,1.2467,0.5774,7.0555,2.1276,1.2139,0.3642,5.0673
23,2016,2.5104,12.5521,1.8661,0.7448,1.1213,0.6862,0.0251,0.092,3.5648,2.8982,0.569,0.8703,0.6694,5.9246,1.2719,0.0,0.2176,2.9539
23,2017,1.6858,0.0,1.6858,0.6912,0.9946,0.6153,0.0253,0.1264,4.0459,3.5478,0.6659,1.1126,1.0958,6.0436,1.6268,0.0,0.354,2.731
23,2018,0.851,0.0,2.2723,1.234,1.0383,0.8936,0.017,0.1191,3.8808,2.7049,0.783,0.9191,0.7319,6.6296,2.2297,0.0,0.3745,3.1233
23,2019,0.0,0.8575,2.8898,1.5349,1.3549,1.1148,0.0257,0.0858,3.4901,2.087,0.5574,1.1576,0.8747,6.6543,1.8779,0.0,0.7546,3.3271
23,2020,0.0,2.5863,2.6812,1.5432,1.138,1.3621,0.0,0.0776,2.845,2.2305,0.4914,0.4655,0.5,5.5002,1.5259,0.3017,0.5431,3.4398
23,2021,2.5929,0.8643,3.5868,2.1175,1.4693,1.6421,0.0086,0.0951,2.8003,2.1232,0.3457,0.5445,0.3889,5.955,1.331,0.3457,0.363,4.7709
23,2022,0.0,5.1935,4.4924,2.7699,1.7225,1.4975,0.0087,0.0952,3.8172,3.0332,0.6059,0.502,0.6925,6.3014,1.2984,0.4588,0.2856,4.7607
23,2023,0.8656,4.3279,4.302,2.3717,1.9303,1.7139,0.0519,0.0866,3.8172,3.168,0.6059,0.6059,0.5453,5.9033,2.1034,1.1166,0.3203,4.6568
23,2024,0.0,1.7312,4.4404,2.5968,1.8437,1.9735,0.0692,0.1385,3.5835,3.1904,0.8656,0.831,0.6838,5.9552,2.2159,0.8916,0.528,4.6915
24,2016,0.4822,0.4822,2.0492,0.8824,1.1669,0.7522,0.0338,0.2435,5.5691,4.394,1.1934,1.5044,0.716,6.3599,1.4923,0.0,0.6075,2.8183
24,2017,0.9671,1.9342,2.2703,1.1146,1.1557,0.9139,0.0338,0.1837,5.0821,6.1492,1.0783,1.6392,0.8172,6.8253,1.3975,0.0,0.4956,2.8433
24,2018,1.6932,1.6932,2.5156,1.1611,1.3546,0.8466,0.0242,0.225,5.4763,5.1029,0.8805,1.5771,0.7644,6.3205,1.4175,0.0,0.4451,2.9921
24,2019,1.936,3.146,2.6862,1.3431,1.3431,1.0043,0.0436,0.2154,4.9053,4.458,0.9777,1.8126,0.7575,6.3815,1.5561,0.0,0.5009,3.1871
24,2020,0.969,0.7267,2.9893,1.6812,1.3081,1.0804,0.0194,0.1817,3.5683,3.9341,0.7994,1.2742,0.6589,5.9422,1.5358,0.2229,0.5039,3.9437
24,2021,0.2417,11.6018,3.2412,2.069,1.1723,1.3946,0.0338,0.1692,4.0848,4.244,0.8822,1.1892,0.6816,5.7815,1.4285,0.5027,0.4302,4.5029
24,2022,1.6814,2.8824,3.6102,2.3347,1.2754,1.518,0.0312,0.1561,4.8256,4.6264,0.9368,1.2923,0.5501,6.1635,1.9552,1.0953,0.4251,5.1714
24,2023,0.9608,1.201,3.7543,2.3948,1.3595,1.7991,0.0576,0.1825,4.2179,4.4939,0.9296,1.1602,0.6942,6.2908,2.1329,1.2346,0.269,4.8184
24,2024,1.6814,2.1618,4.0233,2.6542,1.3691,1.6814,0.0168,0.1393,4.2034,4.3273,0.7206,0.8815,0.442,6.065,1.9912,1.1001,0.3411,5.1907
25,2016,0.5571,4.4564,3.4463,1.4223,2.024,0.7576,0.1523,0.6777,6.5918,6.0343,1.478,2.4715,1.0955,9.2489,1.9181,0.0,0.6128,3.5596
25,2017,2.2261,8.9043,3.6341,1.5211,2.1129,0.8144,0.1057,0.64,6.6114,4.6928,1.3542,2.3077,1.0258,9.1102,1.8996,0.0,0.499,3.5172
25,2018,1.1081,1.8469,3.8766,1.6751,2.2015,0.9622,0.1219,0.4802,5.8103,5.0841,1.3002,1.9577,0.8643,8.3276,2.449,0.0,0.8292,3.6033
25,2019,0.5515,4.7796,4.0223,2.024,1.9983,1.0809,0.1434,0.4982,5.9451,4.6586,1.035,1.8824,0.7794,7.6989,2.3567,0.0,0.7353,3.9083
25,2020,0.7337,6.7864,3.9911,2.0964,1.8947,1.0767,0.1376,0.3852,4.8917,2.8659,0.7942,2.3771,0.6676,6.7094,2.2487,0.3558,0.6768,4.3176
25,2021,1.4623,5.3007,4.1821,2.2098,1.9722,1.3544,0.1115,0.3711,4.9333,2.8732,0.9212,1.932,0.7129,6.9714,2.835,1.0766,0.8024,4.692
25,2022,2.1871,6.0146,4.8573,2.5079,2.3494,1.3433,0.0802,0.3354,5.3494,3.0536,1.0207,2.3694,0.8894,6.8148,2.8779,1.5966,0.8712,5.2765
25,2023,1.4581,9.4776,5.0979,2.8378,2.26,1.3979,0.0857,0.3554,5.1598,3.1751,0.9113,1.5438,0.7582,6.7419,3.1823,1.8135,0.8603,5.2965
25,2024,2.1871,7.1082,5.2273,2.8597,2.3676,1.8864,0.1221,0.3262,4.6477,3.0675,1.1045,1.6294,0.9386,6.4265,3.7819,2.5881,0.7892,5.1544
26,2016,1.1811,2.9527,3.0492,1.2815,1.7677,0.6752,0.1024,0.8248,8.2342,8.853,3.4704,6.1476,2.4941,10.37,2.8917,0.0,0.3996,3.25
26,2017,1.3684,8.4058,2.8267,1.21,1.6166,0.7878,0.1056,0.6021,8.0148,8.8809,3.2646,4.4687,2.0604,9.954,2.7016,0.0,0.4711,3.4053
26,2018,3.3027,2.3313,3.1997,1.3386,1.8612,0.9306,0.0855,0.509,8.0294,7.7794,2.6305,3.8758,1.7737,9.0921,3.2502,0.0,0.4721,3.3454
26,2019,1.7416,3.6767,3.2626,1.5616,1.701,1.1785,0.0929,0.4838,7.7986,7.0848,2.6511,5.0062,1.5694,9.5131,2.3454,0.0,0.3832,3.7464
26,2020,1.5453,4.0563,3.2992,1.7655,1.5337,0.9136,0.0773,0.3515,6.3279,5.8296,2.372,3.4479,1.3386,8.0045,2.372,0.2221,0.7359,4.2476
26,2021,1.5401,3.6577,3.8194,2.0271,1.7923,1.3071,0.077,0.4697,6.091,6.6143,2.26,3.802,1.6151,8.2894,2.9146,0.7874,0.847,4.8955
26,2022,1.3425,5.178,4.6737,2.4874,2.1863,1.5457,0.0959,0.4814,7.4526,6.5258,2.2918,3.6572,1.4978,8.212,2.9783,1.026,0.5734,5.2241
26,2023,1.9178,9.0136,4.8271,2.7271,2.1,1.6244,0.1247,0.4564,7.5197,6.4479,2.8882,4.5471,1.5879,8.7068,3.1586,1.3789,0.6827,5.646
26,2024,2.1096,5.9452,5.1224,2.9381,2.1844,1.7893,0.1112,0.4277,7.2876,6.0513,2.7424,3.9986,1.5093,8.2849,3.6131,2.0866,0.6559,5.6939
27,2016,0.8294,2.3224,3.0672,1.5444,1.5228,0.7979,0.0564,0.418,4.7659,6.1542,2.1698,2.397,1.5593,7.7087,2.4053,0.0,0.4379,2.9976
27,2017,0.8308,1.3293,3.0739,1.5286,1.5453,0.8939,0.0665,0.4503,4.5344,5.9436,1.8593,2.1733,1.2462,7.5169,2.5954,0.0,0.4303,3.147
27,2018,0.5,3.8336,3.3119,1.5851,1.7268,1.1151,0.0533,0.3967,4.582,5.5132,1.8868,1.8351,1.3701,7.8488,2.1168,0.0,0.4834,3.1852
27,2019,1.5012,2.3353,3.5079,1.8282,1.6797,1.2077,0.0784,0.4304,4.4737,5.0881,1.593,1.7381,1.4078,7.7914,1.9666,0.0,0.4003,3.7564
27,2020,1.6676,2.5014,3.3535,1.9544,1.3991,1.3057,0.0767,0.3402,4.0005,5.0464,1.5976,1.5592,1.1139,6.677,2.0545,0.3085,0.4202,4.1406
27,2021,1.3357,4.0071,3.9236,2.274,1.6496,1.6596,0.0568,0.3172,4.0622,4.1605,1.668,1.4158,0.9817,6.8154,2.608,1.3157,0.349,4.488
27,2022,1.3304,2.6609,4.0861,2.5245,1.5616,1.7013,0.0399,0.3592,4.1992,4.6191,1.6581,1.9973,1.1475,6.8634,4.1127,2.4347,0.4158,4.8328
27,2023,1.3304,2.6609,4.4536,2.8621,1.5915,1.8876,0.0565,0.2844,4.3622,5.513,1.5949,1.6082,1.1708,6.732,3.9215,2.3765,0.3509,5.3051
27,2024,1.3304,4.8228,4.605,2.8804,1.7246,1.9807,0.0482,0.2461,4.4137,5.636,1.6414,1.7063,1.2639,6.3562,3.2679,1.9408,0.4025,5.7857
28,2016,1.3827,5.3004,2.8207,1.4818,1.3389,0.9817,0.0415,0.3618,5.0123,5.3496,1.5924,2.1386,1.2859,8.0013,2.1086,0.0,0.643,3.0835
28,2017,1.6158,6.2322,2.7653,1.2995,1.4657,0.7848,0.0646,0.3993,4.748,5.7859,1.4726,1.7335,1.2349,7.6772,2.5783,0.0,0.6094,3.1346
28,2018,0.6945,5.0926,2.9699,1.3796,1.5903,1.0324,0.0509,0.3796,4.75,4.7165,1.3171,1.5718,1.2037,7.6297,2.6829,0.0,0.8426,3.3033
28,2019,0.4634,2.3171,3.325,1.8375,1.4876,1.1724,0.0695,0.2827,4.428,5.0635,1.0774,1.7054,0.9964,7.4935,2.2337,0.0,0.6905,3.7352
28,2020,1.1589,4.8674,3.3469,1.9956,1.3513,1.2794,0.0556,0.2132,3.5347,3.7174,0.8808,1.3003,0.9318,6.52,2.1764,0.3245,0.5864,3.9009
28,2021,0.6956,5.1011,3.7331,2.3488,1.3843,1.5767,0.0348,0.2272,3.6635,3.3004,1.0249,1.2011,0.8811,7.0071,2.4648,0.7814,0.5472,4.4426
28,2022,1.3858,4.1575,4.1344,2.4853,1.6492,1.7023,0.037,0.2749,4.3215,3.7329,1.171,1.4182,1.3789,7.3773,2.4206,0.91,0.4874,4.571
28,2023,2.3097,6.4673,4.4809,2.7994,1.6815,1.9356,0.0785,0.2679,4.4832,5.5265,1.7646,1.894,1.3142,7.4997,2.3513,1.0925,0.4296,4.9451
28,2024,0.9239,6.4673,4.1275,2.5384,1.5891,1.7646,0.0554,0.2148,4.0605,5.6585,1.4921,1.954,1.2449,6.6382,2.3744,1.2865,0.3649,4.7049
29,2016,0.5505,1.5414,2.2879,0.9843,1.3036,0.6705,0.0727,0.6023,7.1368,3.517,1.0482,2.4971,0.8918,9.0427,2.2637,0.0,0.4426,3.3482
29,2017,0.8801,1.9801,2.5687,1.022,1.5467,0.7029,0.0594,0.5555,7.4035,3.4754,1.1628,2.1605,1.0319,9.0437,2.4642,0.0,0.4587,3.3211
29,2018,1.0968,2.8517,2.6718,1.1363,1.5355,0.8621,0.0373,0.4936,7.5658,3.5562,1.0453,2.2682,0.986,8.6319,2.6323,0.0,0.464,3.5756
29,2019,0.9835,2.2949,2.9101,1.3518,1.5583,1.0141,0.0481,0.4459,6.6168,3.0089,0.9398,2.4227,0.86,8.3839,2.4675,0.0,0.5136,3.8007
29,2020,0.6542,1.3084,2.9961,1.5766,1.4196,1.1448,0.0578,0.3413,4.5389,2.6843,0.7872,1.7205,0.6727,7.2865,2.2973,0.2475,0.3816,3.9491
29,2021,1.1935,1.519,2.8873,1.5657,1.3216,1.4073,0.0467,0.3288,4.9423,2.7469,0.8441,1.6471,0.7356,7.8122,2.6702,0.434,0.4069,4.4562
29,2022,1.7243,2.0476,3.2385,1.7049,1.5336,1.3471,0.0528,0.3901,5.341,3.6422,1.2081,1.8224,1.096,7.6365,2.5541,0.7091,0.3395,4.8399
29,2023,1.0777,3.4486,3.8086,2.2125,1.5961,1.5648,0.0474,0.388,5.2688,4.4116,1.221,1.7286,0.9839,7.6796,2.4474,0.7361,0.3212,5.4973
29,2024,0.7544,4.0952,3.7956,2.1931,1.6025,1.6898,0.0528,0.3039,4.9401,4.0054,1.3762,1.6273,0.8568,7.3897,2.2287,0.9419,0.4138,5.3195
2A,2016,4.5365,5.1846,2.9423,1.1017,1.8405,0.5897,0.1555,0.3564,7.4529,3.1864,2.5405,2.0285,1.4193,10.6479,2.683,0.0,0.3111,2.5275
2A,2017,1.9078,7.6312,2.9571,1.1383,1.8188,0.5024,0.0827,0.3688,6.8617,2.8524,2.7854,1.4944,1.0302,10.016,2.1113,0.0,0.4515,2.7282
2A,2018,3.1675,6.9685,2.9838,1.267,1.7168,0.7792,0.0887,0.2281,6.6074,2.2062,2.5087,1.2227,1.229,10.0156,2.2363,0.0,0.5892,3.1675
2A,2019,3.1544,5.678,3.3122,1.4826,1.8296,0.8706,0.082,0.2524,5.8672,1.836,2.309,0.9463,1.0914,10.5232,1.9242,0.0,0.347,3.4068
2A,2020,1.8655,5.5965,3.8056,1.7474,2.0583,0.7835,0.0249,0.1368,4.5705,1.6013,1.7847,1.0012,0.8084,8.6249,2.0272,0.2301,0.3607,3.8803
2A,2021,4.9097,6.7509,3.7866,1.6939,2.0928,0.8715,0.0491,0.178,5.1798,1.5046,1.7798,0.9206,0.9083,9.1996,2.3628,0.583,0.583,4.3942
2A,2022,3.0112,3.6135,3.9989,1.9031,2.0958,0.9576,0.0361,0.1807,5.36,1.4165,1.8128,0.9335,0.9275,9.9612,2.5475,0.9094,1.072,4.4265
2A,2023,3.6135,3.6135,4.3061,2.2042,2.1018,1.06,0.0662,0.265,5.5286,1.8647,2.0838,1.06,0.8612,9.383,2.5656,1.3009,0.6866,4.4747
2A,2024,2.409,9.6359,4.1555,2.1681,1.9874,0.9395,0.0301,0.1686,4.7096,0.9764,1.9754,0.9696,1.06,8.2026,2.2524,1.1443,0.524,4.3121
2B,2016,3.9738,7.9477,2.6171,1.09,1.5271,0.5166,0.0908,0.2725,6.3411,2.1326,2.1061,1.3284,1.1751,10.1844,2.3162,0.0,0.4314,3.2188
2B,2017,7.8789,7.3162,2.5719,1.013,1.5589,0.7372,0.1182,0.2758,5.8923,2.5608,1.829,1.3,1.1481,9.9669,2.555,0.0,0.7766,2.8871
2B,2018,2.767,3.8738,2.7338,1.0183,1.7155,0.6087,0.0221,0.332,5.5008,1.6733,1.4831,1.3116,1.0072,9.5351,1.9369,0.0,0.3708,2.7504
2B,2019,2.1986,6.5958,3.2759,1.605,1.6709,0.863,0.0605,0.2638,4.8699,1.1457,1.8194,1.1268,1.0224,9.7344,2.1986,0.0,0.4067,3.21
2B,2020,2.7339,2.1871,3.0292,1.5747,1.4545,0.9733,0.0328,0.1586,3.6635,1.2581,1.3287,0.8803,0.7218,7.9995,1.7989,0.257,0.5249,3.3627
2B,2021,3.2493,5.4155,3.011,1.668,1.343,1.1481,0.0379,0.1354,3.9858,1.1117,1.2564,0.7636,0.612,9.2443,1.76,0.4766,0.7419,4.0021
2B,2022,3.7791,5.9385,3.5955,2.1109,1.4846,1.1499,0.0432,0.1404,4.3891,1.2141,1.1931,0.8908,0.7558,9.5016,1.814,0.5777,0.3995,4.6429
2B,2023,3.2392,5.3987,4.3135,2.5914,1.7222,1.0581,0.0432,0.1458,4.5079,1.1703,1.2525,0.9664,0.8044,8.762,2.316,0.8368,0.3725,4.8912
2B,2024,7.0183,4.8588,4.1678,2.3376,1.8301,1.2525,0.0324,0.189,4.3783,0.8704,1.4738,0.8746,0.6047,8.4759,1.9381,0.7126,0.3671,5.0046
30,2016,1.3477,2.5606,3.0728,1.3773,1.6954,0.6577,0.1024,1.1132,9.946,8.4624,2.8881,5.2183,2.1496,9.5067,1.9959,0.0,0.4137,3.2331
30,2017,1.4781,3.4938,3.2291,1.3841,1.845,0.7633,0.1169,0.9138,9.6549,9.6688,3.049,4.5352,1.9901,9.6509,1.7724,0.0,0.4649,3.3137
30,2018,1.6098,3.7561,3.406,1.5118,1.8941,0.8022,0.0751,0.8545,9.0441,7.6737,2.6735,5.1579,1.874,9.1689,1.6567,0.0,0.3649,3.6555
30,2019,0.9353,4.2756,3.7144,1.7196,1.9948,1.0061,0.0935,0.7349,8.8852,8.2954,2.7404,5.0238,1.8532,9.131,1.7076,0.0,0.4596,4.1714
30,2020,0.7984,5.4561,3.6742,1.875,1.7992,1.0446,0.0825,0.6481,7.0583,6.0374,2.1292,3.6942,1.3441,7.572,1.8803,0.3473,0.4152,4.3915
30,2021,1.7183,3.0401,4.0011,2.1122,1.8889,1.2901,0.0714,0.4983,7.1536,6.0918,1.8056,2.8895,1.1698,7.5634,2.4163,0.9847,0.5948,4.9541
30,2022,1.178,4.5811,4.619,2.4358,2.1832,1.462,0.0955,0.5406,7.8651,5.7993,1.9149,3.068,1.9947,7.9043,2.8377,1.3285,0.555,5.352
30,2023,1.9633,8.1151,4.9842,2.6898,2.2945,1.4031,0.1073,0.5301,7.5601,6.0215,2.0301,2.729,1.5052,7.8062,3.4725,2.2068,0.6571,5.9292
30,2024,0.9162,6.9371,4.8861,2.7094,2.1767,1.7081,0.106,0.4843,7.3075,6.781,1.9987,2.6531,1.2133,8.1138,3.7251,2.5052,0.8992,6.1138
31,2016,1.1868,4.0054,3.1287,1.3581,1.7705,0.715,0.1298,1.9968,13.9365,14.4227,2.0746,8.4462,1.8328,8.8489,2.5813,0.0,0.54,4.6233
